With tqdm took 0.698805 seconds
         2062651 function calls (2061588 primitive calls) in 0.752 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
4329/4141    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       80    0.000    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
       58    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    91/14    0.000    0.000    0.053    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
       13    0.000    0.000    0.002    0.000 enum.py:553(<listcomp>)
       19    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
   225/77    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
      116    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2636    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     1083    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
     1484    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        8    0.000    0.000    0.001    0.000 __init__.py:328(namedtuple)
       92    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     3485    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
    82/14    0.000    0.000    0.051    0.004 <frozen importlib._bootstrap>:664(_load_unlocked)
     1190    0.000    0.000    0.001    0.000 sre_parse.py:255(get)
       82    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     1722    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      622    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    89/30    0.000    0.000    0.005    0.000 sre_parse.py:436(_parse_sub)
      137    0.000    0.000    0.008    0.000 re.py:288(_compile)
      240    0.000    0.000    0.000    0.000 os.py:755(encode)
      352    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
     2938    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
    91/14    0.000    0.000    0.052    0.004 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       58    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      425    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      352    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       58    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       30    0.000    0.000    0.008    0.000 sre_compile.py:783(compile)
      328    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     1706    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    58/14    0.000    0.000    0.051    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
       30    0.000    0.000    0.001    0.000 sre_compile.py:560(_compile_info)
      352    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       89    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      301    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       13    0.000    0.000    0.004    0.000 enum.py:483(_create_)
        5    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       82    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       58    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      520    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
       51    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      120    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       52    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       80    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      378    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       30    0.000    0.000    0.005    0.000 sre_parse.py:944(parse)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       57    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       63    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      246    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      374    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        5    0.000    0.000    0.004    0.001 __init__.py:1(<module>)
      581    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      281    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
     59/1    0.000    0.000    0.752    0.752 {built-in method builtins.exec}
      411    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      302    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       66    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      123    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       82    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.752    0.752 loading_utils.py:1(<module>)
      439    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
   113/14    0.000    0.000    0.048    0.003 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      188    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       77    0.000    0.000    0.004    0.000 enum.py:359(__call__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
    41/30    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       51    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
       73    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      286    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       30    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      507    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      507    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.023    0.023 request.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
       48    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
      427    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       47    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
       19    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       30    0.000    0.000    0.003    0.000 sre_compile.py:622(_code)
      196    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
       74    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       14    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
       24    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       19    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
      157    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       68    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       64    0.000    0.000    0.000    0.000 enum.py:678(__new__)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       23    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
      128    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
      185    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      188    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      107    0.000    0.000    0.000    0.000 re.py:187(match)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       30    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      168    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      186    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       14    0.000    0.000    0.000    0.000 sre_compile.py:435(_mk_bitmap)
       19    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      185    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      347    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      107    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
      267    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       46    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
       18    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.008    0.008 platform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
       13    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       60    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 utils.py:1(<module>)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       71    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       68    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
      124    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       84    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       19    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       30    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       77    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      182    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       47    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
        1    0.000    0.000    0.002    0.002 dbapi2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.002    0.002 ntpath.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1173(_ip_int_from_string)
        6    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.010    0.010 feedparser.py:1(<module>)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
      116    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    15/13    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       30    0.000    0.000    0.008    0.000 re.py:249(compile)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        2    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
      8/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 header.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
       59    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        5    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       19    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
       59    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(Popen)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       58    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       28    0.000    0.000    0.000    0.000 types.py:176(__get__)
      102    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       64    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        3    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1016(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2299(_IPv6Constants)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1873(_split_scope_id)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
       18    0.000    0.000    0.000    0.000 typing.py:986(__setattr__)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 pathlib.py:540(PurePath)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
       88    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1323(__class_getitem__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
       82    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.010    0.010 parser.py:1(<module>)
      7/5    0.000    0.000    0.005    0.001 {built-in method builtins.__import__}
       24    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        7    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 pathlib.py:112(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        1    0.000    0.000    0.000    0.000 getpass.py:1(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1555(_IPv4Constants)
       43    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.000    0.000 typing.py:801(__init__)
        1    0.000    0.000    0.000    0.000 client.py:790(HTTPConnection)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        5    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
       14    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f6687085750}
        1    0.000    0.000    0.000    0.000 ssl.py:841(SSLObject)
        1    0.000    0.000    0.000    0.000 tempfile.py:816(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       68    0.000    0.000    0.000    0.000 __init__.py:108(<lambda>)
       43    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
        3    0.000    0.000    0.000    0.000 typing.py:1107(__mro_entries__)
        1    0.000    0.000    0.000    0.000 loading_utils.py:26(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
       24    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:407(_Pickler)
        1    0.000    0.000    0.000    0.000 parser.py:79(BytesParser)
       16    0.000    0.000    0.000    0.000 enum.py:451(__members__)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        1    0.000    0.000    0.000    0.000 request.py:317(Request)
        1    0.000    0.000    0.000    0.000 subprocess.py:648(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 client.py:239(HTTPResponse)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:108(<dictcomp>)
        2    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 pathlib.py:282(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1266(IPv4Address)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        4    0.000    0.000    0.000    0.000 ssl.py:457(__new__)
       56    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1902(IPv6Address)
        1    0.000    0.000    0.000    0.000 request.py:1256(AbstractHTTPHandler)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        1    0.000    0.000    0.000    0.000 threading.py:816(Thread)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       21    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
        1    0.000    0.000    0.000    0.000 pathlib.py:945(Path)
       43    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 ssl.py:224(_TLSMessageType)
        2    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
       18    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 {method 'deleter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 request.py:1694(URLopener)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        5    0.000    0.000    0.000    0.000 functools.py:946(__init__)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
